fiber_volume_fraction,binder_density,waviness,braid_angle_deg,thickness_mm,compaction_pressure_MPa,resin_flow_rate,cure_temp_deviation_C,void_fraction_%,resin_rich_index,waviness_amplification,defect_severity,undamaged_strength_MPa,damage_index,CAI_strength_MPa,fatigue_strength_MPa,fatigue_knockdown,pass_criteria
0.5249448142616835,0.1672702994208898,0.05889541724466932,38.70367017104042,4.962918964602168,0.8495713168477694,1.4685360026743075,9.312549142117664,3.076615183714592,0.17227111596247446,0.12027937556334288,0.5222369474049017,771.6409776183802,0.6,380.0,551.5324588612987,0.714752682735393,FAIL
0.59408571676919,0.17966813971913725,0.030343181726309974,32.88040722729247,3.24009770929781,1.1707708042663725,1.1036277413854731,2.028608994899386,4.251351288838233,0.12707991841274588,0.027997715405747137,0.36734629829801974,932.1581231093596,0.44633497179921666,516.1033535189329,650.0,0.7419450596438372,PASS
0.5678392730173686,0.12504678987924991,0.0723436738012889,35.87365407754127,3.726989434361217,0.931466814853233,1.2078636648718812,9.72395837525865,3.0869226592128762,0.09935478267842593,0.09767168172629287,0.3989773363446948,870.1310475207368,0.48489915724694604,448.20523588352916,650.0,0.7502597277610601,FAIL
0.5518390181036443,0.1624874099606999,0.05678697434415449,31.540724469588817,5.321038039437752,0.3082933580453353,1.575087174022176,-8.162293079933118,3.8189324440337584,0.1773577388291392,0.1220827833590757,0.5609190377308385,932.6282428804424,0.6,380.0,650.0,0.6997442606766653,FAIL
0.49872223685309236,0.15717459831437489,0.029432233013417256,34.45051866313657,4.586057561036459,0.44125430781862207,1.814459044500191,-5.210150802425122,1.9961858914738881,0.1656851261083951,0.05295420807716734,0.36339631991249743,795.9736412721181,0.4200318962787423,461.6393233406949,608.4611958138657,0.7644238003175938,PASS
0.4987193424403443,0.18328303767882712,0.0777402834488724,30.10863906131678,5.783907185361134,0.4851266392401949,0.9083282012596635,3.7883562411590166,5.0,0.16800111860619424,0.13569075028134214,0.6187065427775805,600.0,0.6,380.0,396.6083932478805,0.6610139887464674,FAIL
0.4869700334601839,0.19060870604812608,0.05110192780011924,29.51738529678168,4.286254225024063,0.5352235297382983,1.013115193956606,13.677208118817376,2.6160359324336278,0.14068528087888602,0.09941046955087168,0.43252052563340304,620.324543103255,0.49664896878610376,380.0,456.24817013575483,0.735499143485946,FAIL
0.5839411374929921,0.10121567714773869,0.024373907112299302,33.673446792542705,5.609437097441769,0.9350244095356557,1.896109094543619,-8.131053831955493,2.2138206285495445,0.12082919040422256,0.03405065695264337,0.28802890475127824,869.2163520902584,0.385880689589538,533.8025467431669,650.0,0.7691761447870087,PASS
0.552133801409185,0.1674019919058793,0.05760997426490404,32.471945112759705,4.346866312434713,0.8551555137730116,1.367767688614168,-8.922894596078393,4.274624047815443,0.13569038201337852,0.094532607605959,0.4850655924982064,926.6743749172696,0.543059901062641,423.43468055741243,650.0,0.7211954271441259,FAIL
0.5649687093355255,0.10518357991197291,0.035191934420768615,33.693045537249716,5.937744836105956,0.46410804987347165,0.7684427257025015,-6.086233126803608,2.225128354405453,0.11044824260996028,0.053227149571959134,0.3067064646233051,781.4835219088229,0.3529956580411825,505.62323184427714,586.216781658696,0.7501332596582773,PASS
0.48247013931549626,0.15488586650773561,0.06822160711263815,29.299908719305343,5.87950314419663,0.2878212964923932,1.4955427083685742,6.028828221503915,4.020473875821927,0.19373862921517185,0.11366309039734818,0.5751662547268404,664.9079198904751,0.6,380.0,462.240647628335,0.695194979335599,FAIL
0.5963891822594393,0.12876327290436784,0.06906932441397144,30.50436747725493,3.987410116668241,0.4228618658171335,1.9861432333090694,-0.025177083243820064,3.4054646873371204,0.13791181027981683,0.11724350761764889,0.48930237201750326,1035.565613031327,0.5573945236271866,458.3470114710351,650.0,0.6973872847937486,PASS
0.5798931168960506,0.13067765995221414,0.07873684135127972,26.25846940943364,5.65777101125041,1.4796957064041842,1.7351803467056002,10.638809485442156,3.2491602078961472,0.12473136531255118,0.11632427536972938,0.4657628872824743,939.8773596776475,0.5667176824444179,407.23224061915255,650.0,0.7083078707141754,FAIL
0.5054806932813931,0.13529585034523567,0.050112171861470226,25.784145584083085,5.542834122646948,0.8091110347289139,1.618611704827104,-8.201671212965856,3.3713109382201805,0.1429411517131386,0.05741014481573273,0.39823805128974593,747.5997697171168,0.47184163710176147,394.8510704768925,544.4972820067761,0.7283272468272799,FAIL
0.501818996064852,0.16212924490496103,0.04729741278366423,28.801856945095246,3.6320411919826885,1.3275491561127462,0.8120699813994039,-5.089647829632473,2.5154306077162056,0.10689088003697877,0.07022794313060958,0.34125098936199805,770.0644462535715,0.4219515167310606,445.13458517621274,577.9488855510522,0.7505201523883127,FAIL
0.502008541182412,0.13340499656687693,0.06520853632678883,26.113702889958187,4.872871202349809,1.3033782066694963,1.8142096770260108,-2.4993398633776085,2.373148868099407,0.11352449050798881,0.0971227053023014,0.3865516718172451,747.3130288083851,0.4382387157875373,419.8115267721035,556.9717352678496,0.7452991100074344,FAIL
0.5165090691551445,0.17326990505902806,0.027948239380515594,26.55662062952111,3.2180469467694444,0.8649754247017358,1.2886832653033196,5.668252167219631,1.6374555535646496,0.11792897307450045,0.044601554320271956,0.27837547674442165,745.4724060674563,0.341501833524464,490.89221255352624,583.8248488217357,0.7831609112154133,PASS
0.5429707717958685,0.140452738557387,0.05281493082758745,37.19392608090906,5.510132161750385,1.1186940209987066,1.8339350331079334,7.1293172575386805,2.6845808699290807,0.15559129403004907,0.06306213950101408,0.39499221083484465,858.6289179655657,0.4562902410215999,466.84492203894223,626.1082594570694,0.7291954025268209,PASS
0.5318334022370539,0.10683532003099587,0.05277485600785106,25.58310545525034,3.52363765051049,0.450577613536526,0.994741744137319,-6.894917650905654,0.9723960421066572,0.08511968375272577,0.06393972904047908,0.24334302865230373,705.1360275229804,0.28974154803556884,500.82882333282055,553.6495472608232,0.785167011258377,PASS
0.5149474968237651,0.17837598424841072,0.025368387368623235,34.88414190902114,3.2124441041572935,1.0949157164049808,0.5930765789531491,13.59511772479349,0.5,0.11842811971834155,0.021225792392322848,0.1960750114897264,696.326318918525,0.2306780334418597,535.6991330365904,558.9554131849119,0.8027205033022937,PASS
0.5534223473666855,0.12857583245927062,0.045079045130414816,29.088366232231007,4.200657286616433,0.5540999530422763,1.2139639529896191,-1.473896620244771,3.054063635503502,0.11597202917981711,0.07693585554004387,0.3844263492999908,919.6767239431598,0.4443368508557025,511.03046462096694,650.0,0.7358016060072632,PASS
0.496739263278245,0.14327668795992626,0.07119708791403212,38.0731852106219,4.73076641579893,1.281680725780396,0.9047564072268165,7.829219075007078,3.864696768677483,0.12343686102309198,0.07365254651895956,0.420556178405145,717.1370379469196,0.5339023471364498,380.0,502.562544828408,0.7007901115624797,FAIL
0.5150573578242261,0.16854438832219015,0.07136921731967961,32.27488426866249,5.564750875679313,0.3088413730415829,1.5728439346644474,3.1051929736924695,4.97014870962996,0.19147031340585455,0.13900074967236467,0.6509715239480074,752.9624317240515,0.6,380.0,492.79213694600963,0.6544710814026509,FAIL
0.523963421195243,0.1332456157148712,0.02595425989518086,29.583646889917386,5.92272757656521,1.2050802747508607,1.9356598292840486,-4.431047161322335,0.5,0.14662389628547187,0.028920547264194192,0.24222155116527694,806.4943849751077,0.27443119264020904,560.0,645.6197210309635,0.8005259962856288,PASS
0.5347283981060443,0.10565856561467157,0.02544325296486985,32.76458403534152,4.318477537709591,0.3299179785392054,1.5364612267273459,11.155708077885276,2.7009726169956427,0.12919272899463552,0.038790942496104146,0.325135687467155,770.9228774975286,0.4030156744049537,460.2288741086545,587.0884145936557,0.7615397489556764,PASS
0.5742211153671616,0.13739210470128138,0.03576172862011612,30.729370285679032,3.1813407689558106,1.3455460079626016,1.8304008945638053,10.455950704798248,1.4690976243816756,0.10455049405291668,0.047586899544208576,0.2603635371095008,995.5249545610341,0.32654218285323605,560.0,650.0,0.8017899202582386,PASS
0.5039608538590031,0.19444485826943037,0.07248596375323961,33.46451597004745,5.247346737077612,0.5954658735755048,1.1795360204018095,-0.0982036520827485,3.6459369170160656,0.17742540015504424,0.1289930950140777,0.5651369088892201,629.6362530544731,0.6,380.0,450.1436216052657,0.7149264665456319,FAIL
0.5417081326096334,0.16417343972985582,0.027734155104409935,26.71799302489522,4.695519768671812,1.0507113742797471,1.6574611057929525,4.715189642346385,2.339441508224459,0.15426858360886553,0.03440167435260551,0.3337426396237858,928.494928297452,0.39147170820376115,560.0,650.0,0.7582032454263309,PASS
0.551089748263445,0.1671479148667207,0.06319980815764678,39.954857542188265,4.3436740345333895,0.8337529622063637,1.7645651550075552,-3.554357601601507,4.029036434908618,0.16661986356986286,0.1139141644942686,0.5433679568710099,833.6599665868674,0.6,380.0,570.6878799632179,0.6845571370059932,FAIL
0.4855740495263997,0.16322821536376397,0.02606993717678619,31.383338165450763,3.927806636376569,0.6761940888410407,1.5663134413753137,7.246290718657537,2.8630581184546915,0.14214055412547255,0.022796641828603317,0.32156561661452,742.689289588618,0.39726591679843015,447.64414806382086,574.4908843418903,0.7735278970565278,FAIL
